EMP_ID,EMP_NM,EMAIL,HIRE_DT,JOB_TITLE,SALARY,DEPARTMENT,MANAGER,START_DT,END_DT,LOCATION,ADDRESS,CITY,STATE,EDUCATION LEVEL
E17469,Haifa Hajiri,Haifa.Hajiri@TechCorp.com,12/17/03,Administrative Assistant,47418,Distribution,Allison Gentle,12/17/03,,West Coast,705 James Way,San Francisco,CA,No College
E27621,Wendell Mobley,Wendell.Mobley@TechCorp.com,11/27/13,Administrative Assistant,28969,Distribution,Allison Gentle,11/27/13,,West Coast,705 James Way,San Francisco,CA,Some College
E27909,Michael Sperduti,Michael.Sperduti@TechCorp.com,6/20/14,Administrative Assistant,43778,Distribution,Allison Gentle,6/20/14,,West Coast,705 James Way,San Francisco,CA,Associates Degree
E35053,Ashley Bergman,Ashley.Bergman@TechCorp.com,3/1/09,Administrative Assistant,41090,Distribution,Allison Gentle,3/1/09,,Midwest,1300 Nicollet Mall,Minnapolis,MN,No College
E51723,Carlos Lopez,Carlos.Lopez@TechCorp.com,5/23/14,Administrative Assistant,35825,Distribution,Allison Gentle,5/23/14,,East Coast,165 Broadway,New York City,NY,No College
E59688,Jason Wingard,Jason.Wingard@TechCorp.com,1/11/06,Administrative Assistant,34809,Distribution,Allison Gentle,1/11/06,,West Coast,705 James Way,San Francisco,CA,Some College
E18697,Anita Deluise,Anita.Deluise@TechCorp.com,6/1/95,Administrative Assistant,45325,HQ,Tyrone Hutchison,6/1/95,,HQ,1 Tech ABC Corp Way,Dallas,TX,Associates Degree
E25640,Joseph Donohue,Joseph.Donohue@TechCorp.com,12/27/07,Administrative Assistant,40647,HQ,Tyrone Hutchison,12/27/07,,HQ,1 Tech ABC Corp Way,Dallas,TX,No College
E35075,John Certa,John.Certa@TechCorp.com,8/29/07,Administrative Assistant,51633,HQ,Tyrone Hutchison,8/29/07,,HQ,1 Tech ABC Corp Way,Dallas,TX,Some College
E56459,Raven Landis,Raven.Landis@TechCorp.com,4/21/16,Administrative Assistant,42313,HQ,Tyrone Hutchison,4/21/16,,HQ,1 Tech ABC Corp Way,Dallas,TX,Associates Degree
E78732,Randy Myers,Randy.Myers@TechCorp.com,1/24/20,Administrative Assistant,34084,HQ,Tyrone Hutchison,1/24/20,,HQ,1 Tech ABC Corp Way,Dallas,TX,Associates Degree
E90407,Danny Godiksen,Danny.Godiksen@TechCorp.com,12/15/10,Administrative Assistant,28373,HQ,Tyrone Hutchison,12/15/10,,HQ,1 Tech ABC Corp Way,Dallas,TX,Associates Degree
E45824,Raj Prudvi,Raj.Prudvi@TechCorp.com,10/3/17,Administrative Assistant,51052,IT,Jacob Lauber,10/3/17,,East Coast,165 Broadway,New York City,NY,Associates Degree
E48148,Alexis Fitzpatrick,Alexis.Fitzpatrick@TechCorp.com,2/19/13,Administrative Assistant,39450,IT,Jacob Lauber,2/19/13,,Midwest,1300 Nicollet Mall,Minnapolis,MN,No College
E50012,Ann Roberto,Ann.Roberto@TechCorp.com,10/1/09,Administrative Assistant,37136,IT,Jacob Lauber,10/1/09,,Midwest,1300 Nicollet Mall,Minnapolis,MN,No College
E81502,Danny Laxton,Danny.Laxton@TechCorp.com,10/24/99,Administrative Assistant,34677,IT,Jacob Lauber,10/24/99,,East Coast,165 Broadway,New York City,NY,Some College
E83558,Laura McKenna,Laura.McKenna@TechCorp.com,10/15/97,Administrative Assistant,45210,IT,Jacob Lauber,10/15/97,,East Coast,165 Broadway,New York City,NY,Associates Degree
E99949,William Graf,William.Graf@TechCorp.com,5/26/05,Administrative Assistant,50043,IT,Jacob Lauber,5/26/05,,HQ,1 Tech ABC Corp Way,Dallas,TX,Bachelors Degree
E12562,Keith Ingram,Keith.Ingram@TechCorp.com,4/14/96,Administrative Assistant,48910,Product Development,Conner Kinch,4/14/96,,HQ,1 Tech ABC Corp Way,Dallas,TX,Some College
E16346,Jill Fram,Jill.Fram@TechCorp.com,12/16/07,Administrative Assistant,50462,Product Development,Conner Kinch,12/16/07,,HQ,1 Tech ABC Corp Way,Dallas,TX,Associates Degree
E37523,Alan Mecklet,Alan.Mecklet@TechCorp.com,12/2/17,Administrative Assistant,35638,Product Development,Conner Kinch,12/2/17,,East Coast,165 Broadway,New York City,NY,Bachelors Degree
E57987,Nicole Lee,Nicole.Lee@TechCorp.com,5/15/16,Administrative Assistant,49786,Product Development,Conner Kinch,5/15/16,,West Coast,705 James Way,San Francisco,CA,No College
E73518,Cheryl Pike,Cheryl.Pike@TechCorp.com,3/24/01,Administrative Assistant,51207,Product Development,Conner Kinch,3/24/01,,South,422 Broadway,Nashville,TN,No College
